ID,fName,lName,gender,DOB,contractStarted,email,phone,department_ID,salary_ID,designation_ID,age
429fc5eb-d7eb-4824-85c4-221026c60ddb,Ryka,Mital,Female,1990-01-01,2012-03-01,Ryka.Mital@xyz.com,9876754326,a3c85a0c-6073-4c7f-8468-1f3dd79bb8de,66c8f440-d3c9-4565-ba4d-d37086b47873,c5751e74-ef39-4135-a111-eb4b1b4d7f9a,0
455b744d-8e33-4ca5-ada1-91ce6c3447bc,Chiranjivi,Seshadri,Male,1990-02-01,2012-03-11,Chiranjivi.Seshadri@abc.com,8564543278,3e274a93-8681-4d89-9362-2a94f4089038,f64caecb-d699-450f-a8ba-47eef0e42abc,27e7121c-2860-4b1c-915c-9f46b2b4b95f,0
643ec8c0-b128-4af5-8a27-3c9d261fed10,Shresth,Majumdar,Male,1987-01-01,2009-10-16,Shresth.Majumdar@abc.com,9065754376,3e274a93-8681-4d89-9362-2a94f4089038,97475e75-ecfd-49a2-821f-6795807cec99,c5751e74-ef39-4135-a111-eb4b1b4d7f9a,0
c1fbef5f-8771-4c77-9f26-219470eb8935,Samarth,Joshi,Male,1985-01-09,2007-07-17,Samarth.Joshi@xyz.com,9878654532,a3c85a0c-6073-4c7f-8468-1f3dd79bb8de,6d88f481-d17d-42e4-b675-5e9a2a13ed85,27e7121c-2860-4b1c-915c-9f46b2b4b95f,0
2239b1c7-acb3-42d1-b8af-8fd608446f92,Akhil,Shanker,Male,1996-07-23,2018-09-20,Akhil.Shanker@xyz.com,9870653654,3e274a93-8681-4d89-9362-2a94f4089038,1e0a262e-26a7-4af1-a911-23577687cfb9,c5751e74-ef39-4135-a111-eb4b1b4d7f9a,0
5f6de571-f161-4c40-9b12-def023bfd14f,Haiya,Luthra,Female,1991-03-12,2013-07-17,Haiya.Luthra@abc.com,9850998565,a3c85a0c-6073-4c7f-8468-1f3dd79bb8de,8c304426-e2fd-4e0f-9c20-344d0f5cc3be,d516bea4-32bc-4b35-9d9b-afbbbf1ab021,0
1787b9c5-42cd-4115-8360-829a19028f34,Minakshi,Ram,Female,1990-04-02,2012-08-08,Minakshi.Ram@xyz.com,9860983218,3e274a93-8681-4d89-9362-2a94f4089038,785d7097-ddf3-46a3-9c07-ff1cc13fca1a,d516bea4-32bc-4b35-9d9b-afbbbf1ab021,0
3342e4d1-7ea2-4720-9fbb-bc4e256763f5,Kamala,Trivedi,Female,1989-01-23,2011-09-08,Kamala.Trivedi@abc.com,6548798765,a3c85a0c-6073-4c7f-8468-1f3dd79bb8de,e0c93cf5-4a02-479b-a5b3-eb0bf6ceb8e4,a029382f-6532-4089-9b3d-eefe54f0fa89,0
f1804084-fa95-4017-987b-c06ac588800d,Navin,Deo,Male,1980-01-14,2001-11-16,Navin.Deo@xyz.com,8967654987,3e274a93-8681-4d89-9362-2a94f4089038,76480d15-ec22-4cd5-b984-c889e12fd5e3,a029382f-6532-4089-9b3d-eefe54f0fa89,0
e308aa5e-99e4-46f5-b0f8-7931a8becbde,Dinesh,Pradhan,Male,1986-02-14,2008-12-17,Dinesh.Pradhan@abc.com,9876345678,a3c85a0c-6073-4c7f-8468-1f3dd79bb8de,9cd9fb2b-b26b-4b6b-9454-c45f8819f2f6,d94bd7b7-3934-4e16-a553-fc7691e38231,0
